aba	acostamento/berma
instrumento	acendedor/arapuca/brocha/chibata/encosto/engenhoca/escova/filtros/furadeira/gadget/sensor/apetrecho/armadilha/açoite/chicote/filtro/gancho/implemento/maquinaria/pincel/tecla/troço/alarme/apoio/encendedor/isqueiro/aparelho/armamento/bastão/pau/equipamento/vara/arma/chave/mecanismo/máquina/suporte/agulha/barra/ferramenta/rede
instrutor	instructor/preceptor/tutor
instrução	aula/regra/experiência/curso/estilo
instância	mostra/precedente/excepção/exceção/amostra
insucesso	equívoco/engano/falha/erro
intelecto	estudioso/gênio/pensador/erudito/especialista/mente/teórico/acadêmico/intelectual
intelectual	estudioso/gênio/pensador/erudito/especialista/mente/teórico/acadêmico
inteligência	genealidade/brilho/talento
intensidade	violência/força
intenção	finalidade/acepção/intento/propósito/significação/matiz/objectivo/sentido/objetivo/significado/fim
interação	contato/ligação
intercorrência	cabimento/default/possibilidade/padrão
interesse	entusiasmo/preocupação
interpretação	magia/versão/ilusão/truque
interrogatório	entrevista
interruptor	botão
interrupção	descanso/repouso/pausa
intervalo	interrupção/horário/suspensão/parada/pausa/período
intimação	coima/multa
introdução	injeção
intuição	inspiração/sentimento/coração
intérprete	actor/ator/artista
invertebrado	verme
invertebrados	verme
investidor	accionista/acionista
investigador	examinador/inspector/inspetor
investigação	enquête/sindicância/escuta/examinação/busca/grampo/procura/exame/inquérito/pesquisa/teste
início	iniciativa
ira	fúria/cólera/raiva
irmã	gémeo/gêmeo/soror
irmão	gémeo/gêmeo
irregularidade	aleatoriedade/flutuação
irritação	frustração
isqueiro	fósforo
itinerário	órbita/trilha
itinerários	órbita/trilha
jantar	banquete/festa
jejum	dieta
joalharia	anel/joia/jóia/anel/gema/aliança
joalheria	anel/joia/jóia/anel/gema/aliança
jogador	goleiro/guarda-redes
jogo	jogada/competição/torneio/corrida/combate/partida/luta/classe
joia	diamante
joquei	jóquei/jóqueis
jornada	anoitecer/véspera/tarde/passeio/viagem/noite
jornal	resenha/periódico/revista/série/folha
jornalismo	periódico/jornal/folha
jovem	adolescente/moço/rapaz/moça/rapariga
juiz	magistrado/jurista
julgamento	fogo/ataque
junta	comité/comitê/conselho/júri
junção	coalescência/encruzilhada/cruzamento
justeza	corretude/justiça/direito
justificação	escusa/desculpa/álibi/reabilitação
justiça	justeza/corretude/honra/direito
juvenil	adolescente/moço/rapaz/moça/rapariga
jóia	anel/joia/anel/diamante/gema/aliança
laboratório	chácara/estudio/laboratorio/laboratórios/estúdio/granja/quinta/oficina/sítio/fazenda/trabalho
lacticínio	manteiga/queijo/creme/nata/leite
ladeira	declividade/ribeira/barranco/descida/declínio/margem
lado	superior/topo/fundo
lago	albufeira/reservatório
laje	ladrilho
lampejo	descoberta/achado
lar	vivenda/habitação/casa
lareira	chaminé/fogo
laticínio	manteiga/queijo/creme/nata/leite
lazer	feria/féria/sueto/férias
lealdade	patriotismo/nacionalismo
legenda	oposição
legislador	congressista/deputado/parlamentar/representante
legislatura	parlamento/presidência/congresso/assembléia
legume	aboboreira/jerimum/pepineiro/pepino/abóbora/fava/feijão
lei	indicações/constituição/guia/princípio/regra/restrição/limitação
leis	constituição
leitura	hora
leniência	clemência/misericórdia/perdão
lepidópteros	borboletas/borboleta/mariposa
lesão	picada/ferida/fractura/fratura/ulceração/úlcera/ferimento/queimadura/corte
letra	asterisco/caracter/caractér/carácter/maiúscula/inicial/espaço
liberdade	autonomia/independência
liderança	administrador/executivo/gerente/frente
liga	aço
ligadura	gesso
ligamento	arame/fio/corrente/cadeia
ligação	convivência/pertinência/relevância/afiliação/filiação/associação/conhecido/nó/amizade/sociedade/conexão/relação
limiar	umbral
limitação	travão/trela/freio/grilhão/algema/coleira/restrição/cadeia
limite	acostamento/berma/delimitação/contorno/superfície/margem/borda/fronteira
linguagem	fala/idioma/língua
lingüiça	cachorro-quente/salsicha
linha	curvas/filaúnica/toa/umapósooutro/fila/curva/órbita/trilha/corda/bicha/arco/cabo
linhagem	família
lipido	lípidos/gordura/óleo
lipídio	lípidos/gordura/óleo
lista	cronograma/menu/índice/agenda/pauta/horário/chave/programa
listagem	cronograma/lista/menu/índice/agenda/pauta/horário/chave/programa
literatura	retorica/retórica/romance
litigante	argüido/querelante/acusado/réu/suspeito
litoral	beira-mar/costa
livro	album/apostila/folheto/livreto/opúsculo/sebenta/álbuns/brochura/caderno/catálogo/panfleto/álbum/compêndio/texto
livros	album/álbuns/caderno/álbum
lixo	detrito/negar-sea/resíduos/resíduo
loa	recomendações/recomendação
local	direita/esquerda/lugar
localização	regiões/ocidente/selva/espaçamento/floresta/espaço/região/inclinação/posição
locação	cemitérios/necrópole/regiões/campismo/cemitério/escavação/ocidente/selva/floresta/acampamento/espaço/região
locução	lemas/mote/cambial/lema
lorde	duque
lousa	painel
louvado	decorador/desenhador
louvor	recomendações/recomendação
louças	xícara/chávena/louça/taça/prato
lugar	biscate/cemitérios/necrópole/regiões/campismo/cemitério/escavação/ocidente/procedência/selva/vértice/cargo/ofício/vocação/direita/esquerda/arte/floresta/profissão/raiz/ocupação/acampamento/centro/emprego/espaço/área/canto/nascente/região/fonte/trabalho/posição
luta	peleja/pugna/insurreição/revolta/guerra/rebelião/disputa/combate/batalha
luz	archote/facho/tocha/feixe/lanterna/sol/brilho/raio
lâmpada	flash/vela/luz
lépton	electrão/electrônio/eletron/eléctron/elétron
léptons	electrão/electrônio/eletron/eléctron/elétron
líder	empregador/administrador/executivo/gerente/herói/político/treinador/cabeça/guia/chefe/liderança/exemplo/técnico/responsável/modelo
língua	fala/linguagem/idioma
lípido	lípidos/gordura/óleo
lípidos	gordura/óleo
líquido	água
líqüido	bebida/líquido
macho	garoto/moço/rapaz/menino/homem
machucado	picada/ferida/fractura/fratura/ferimento/lesão/queimadura
macromolécula	proteína
madeira	tora/prancha/tábua/tronco
magnitude	amplidão/anchura/largura/tamanho/dimensão/medida/proporção/grau/extensão
mal	picada/ferida/fractura/fratura/ferimento/lesão/queimadura
mal-entendido	ilusão/fantasia/erro
mala	valise
maldade	malícia
maltrato	abuso/descuido/injúria/negligência
mamífero	morcego/quirópteros/gado/pecuária
mandado	anistia/perdão
manipulador	conductor/chofer/condutor/motorista
manobra	ofensiva/campanha/medida/passo/ataque
manual	guia
manutenção	revisão
mapa	gráfico
maquinaria	moinhos/calculadora/maquinário/moinho/computador/imprensa/máquina
maquinário	moinhos/moinho
marca	rastro/rótulo/vestígio/etiqueta
marcadores	rótulo/etiqueta
marcha	transmissão
marco	flecha/ponteiro
marido	cônjuge/esposa/esposo/varão/mulher/homem
martírio	agonia
massa	amontoado/monte
matarruano	tolo/bobo/imbecil/idiota/estúpido
materiais	minérios/química/thread/mineral/fibras/lixo/resíduo/condutor/fibra/substância/papel
mato	rosa/rosas/rosa
matéria	barro/geleca/gosma/lodo/líqüido/sedimento/fluido/lama/substância/depósito
mecanismo	acendedor/arapuca/autômato/encosto/engenhoca/filtros/gadget/robô/sensor/andróide/apetrecho/armadilha/eixo/engrenagem/filtro/maquinaria/tecla/troço/alarme/apoio/encendedor/isqueiro/aparelho/barreira/chave/marcha/máquina/suporte/instrumento/ferramenta/rede
medicamento	terapia/dose/remédio
medicina	cirurgia
medida	probabilidade/volume/peso/valor
medição	peso
medo	estupefação/pânico/consternação/terror
meio	habitat/cenário
melhora	restauração/renovação
melhoramento	retificação/reforma/correção
melhoria	reaparecimento/ressurgência/restauração/retificação/revitalização/revivalismo/reforma/ressurreição/retomada/renovação/anexo/correção/asa
melodia	tema
membro	coxa/braço/anca/perna
memória	associação/conexão
menino	bebé/criancinha/nenê/recém-nascido/bebê
menor	adolescente/moço/rapaz/moça/rapariga
mensagem	abaixo-assinado/aconselhamento/disparate/insensatez/narrativa/narração/postulação/requerimento/significância/submissão/tolice/agouro/bobagem/indício/presságio/propaganda/requisição/significação/solicitação/conselho/correio/direção/indicação/linguagem/matéria/promoção/publicidade/transmissão/tópico/assunto/besteira/discurso/petição/tema/idioma/informação/apelo/opinião/significado/anúncio/entrada/língua/história/sinal/intenção
mentira	mentirinha/contradição/conto/falsidade/história
mercado	empório/mercado/mercadinho/quitanda/sacolão/supermarket/supermercados/supermercado/feira
mercado/mercadinho	supermarket/supermercados/supermercado
mercador	retalhista/varejista/fornecedor/vendedor/negociante/comerciante
mercadoria	importação/estoque/inventário/produto/artigo
mercantilismo	industria/marketing/mercadologia/tráfico/marketing/tráfego/trânsito/pagamento/empresa/negócio/comércio
merda	pipi/urina/xixi
mesa	balcão/escrivaninha/secretária
mestre	instructor/preceptor/tutor
meta	alfabetismo/alfabetização/finalidade/intento/propósito/arte/objectivo/objetivo/fim/habilidade/intenção
metais	aluminio/alumínio/cobre/estanho/sodio/sódio/chumbo/cobre/ferro
metal	aluminio/alumínio/cobre/estanho/sodio/sódio/chumbo/cobre/ferro
metodo	metodologia/metodólogia/metodologia/metodologias
metro	báscula/balança/gangorra/régua
microorganismo	vírus
microrganismo	vírus
migração	imigração
militar	veterano
minuto	instante/momento/segundo
miscelanea	seleção
misericórdia	compaixão/piedade
missiva	invitação/convite
mistura	mixagem/soluto/soluto/pasta/seleção/solução/massa
miséria	indigência/privação/pobreza
mobilização	conscrição/alistamento
mobiliário	alcatifa/alfaia/aparelhador/cómoda/gaveteiro/movéis/reposteiro/candeeiro/carpete/cortina/cômoda/luminária/mobília/tapeçaria/assento/tapete/estante/mesa/móvel/armário/cadeira
mobília	alcatifa/alfaia/aparelhador/cómoda/gaveteiro/movéis/reposteiro/candeeiro/carpete/cortina/cômoda/luminária/tapeçaria/mobiliário/assento/tapete/estante/mesa/móvel/armário/cadeira
modalidade	controle
modelo	apoteose/molde/padrão
modificação	decréscimo/falecimento/mutação/dano/estrago/flutuação/avaria/mutação/variação/prejuízo/surpresa/queda/diminuição/abatimento/morte/mudança
moeda	cache/cêntimo/numerário/centavo/divisa/peça/capital/prata/dinheiro/fundo
moita	rosa/rosas/rosa
molho	fardo/pacote
momento	saída/instante/prazo/início/começo/princípio/segundo
monarca	rei
monarquia	império/reino
monastério	abadia
monge	irmão
montanha	vulcão
montanhas	vulcão
monte	vulcão
morada	vivenda/habitação/casa
moradia	vivenda/dormitório/habitação/casa
morador	aldeã/aldeão/ocupante/residente
morais	consciência
moral	bondade/consciência/virtude
moralidade	bondade/consciência/virtude
morte	sacrificio/suicídio/auto-destruição/sacrifício
morto	enchido/defunto/cadáver/corpo
mosteiro	abadia
motor	motores/máquina
motores	motor/máquina
motorista	automobilista/chofer/condutor
movimento	vacilação/migração/xeque/precipitação/regresso/transporte/vaga/torção/transferência/onda/retorno
movéis	aparelhador/cómoda/gaveteiro/candeeiro/cômoda/luminária/assento/estante/mesa/armário/cadeira
mudança	decréscimo/falecimento/mutação/ascenção/dano/estrago/flutuação/rotação/avaria/mutação/variação/gesto/promoção/troca/prejuízo/transição/surpresa/queda/diminuição/sinal/abatimento/morte
mulher	dona-de-casa/namorada/viúva/dona/esposa/viuvez/menina/senhora/dama/amante/garota/rapariga
mundo	natureza
municipalidade	arraial/burgo/urbe/metrópole/aldeia/cidade/distrito/povoado/vila
município	arraial/burgo/urbe/metrópole/aldeia/cidade/distrito/povoado/vila
munição	bomba
musico	maestro/compositor
mutante	esdrúxulo/monstro
mutantes	esdrúxulo/monstro
mutação	esdrúxulo/monstro
mágoa	desgosto/amargura/tristeza/dor/pesar
máquina	moinhos/calculadora/maquinaria/maquinário/moinho/computador/roda/imprensa
máximo	mínimo
mãe	progenitora/papai/papá/painho/pai
mão	punho
médico	aia/ama-seca/cirurgião/dentista/enfermeira/enfermeiro/enfermeiros/odontólogo/dr./doutor
método	metodologia/metodólogia/metodologia/metodologias
métodos	metodologia/metodólogia/metodologia/metodologias
mídia	chinês/cine/cinema/álbum
míssil	projétil/bala/flecha/seta
móvel	alcatifa/alfaia/aparelhador/cómoda/gaveteiro/movéis/reposteiro/candeeiro/carpete/cortina/cômoda/luminária/mobília/tapeçaria/mobiliário/assento/tapete/estante/mesa/armário/cadeira
múltiplo	dobro
música	aria/toada/melodia/harmonia
músico	cantador/cantor/vocalista/maestro/compositor
naipe	bandeira/pendão/bandeira/estandarte/pavilhão
natureza	temperamento/disposição
navio	batel/embarcações/iate/aeronave/aeroplano/bote/embarcação/escaler/navios/avião/barco
navios	batel/iate/bote/escaler/barco
nação	superpoder/superpotência/aliado
neblina	emanações/fumo/vapores/nevoeiro/bruma/névoa
necessidade	ausência/escassez/deficiência/falta/carência
negação	recusa
negociador	representante
negociante	barao/retalhista/varejista/magnata/mercador/dono/fornecedor/vendedor/comerciante/proprietário
negócio	transportação/turismo/aventura/indústria/manufatura/transporte/expedição
nervosismo	stress/fadiga/tensão
nevoeiro	bruma/névoa/neblina
nobre	duque
nojo	revulsão/abominação/repulsa/aversão
nome	assinatura/visto/título
norma	indicações/ordenamento/guia/restrição/limitação
nota	acorde/acordes/apontamento/memorando/menção/demissão/anotação/dólar/citação/referência
notificação	demissão
notícia	reportagem/estória/relato/artigo
notícias	reportagem/estória/relato/artigo
noção	psique/atitude/mente/cabeça
numerário	troco
nutriente	repasto/refeição/vitamina/bebida/prato
nutrição	repasto/refeição/vitamina/prato
náusea	revulsão/abominação/repulsa/aversão
não-ficção	artigo
não-graduado	formando
névoa	bruma/neblina
nível	alcance
número	acrescentamento/amplidão/menoridade/minorias/preponderância/produtos/recorde/marcador/minoria/prevalência/tamanho/zero/dimensão/medida/deficiência/diferença/proporção/magnitude/carência/grau/produto/variável/extensão/aumento
objectivo	finalidade/intento/propósito/objetivo/fim/intenção
objecto	paixão/afeição/amor
objetivo	paixão/afeição/amor
objeto	amuleto/paixão/talismã/chão/filme/locação/relevo/localização/paixão/solo/terra/afeição/amor/ponto/lugar
obra	publicação/edição
obreiro	mineiro/carregador/trabalhador/operário
obrigação	débito/dívida/dívidas/incumbência/dívida/serviço
observador	espetador/telespectador/espectador
observação	chacota/xiste/gracejo/comentário/piada
obstrução	interferencia/atrapalhação/obstáculo
obstáculo	interferencia/pegadinha/artifício/estacada/paliçada/atrapalhação/cerca/truque/barreira/dificuldade/problema
obtenção	récorde/crédito
ocasião	liquidação/promoção
ociosidade	retardar/atraso/adiar/intervalo/pausa
oco	cavouco/fosso/vala/poço/buraco
ocorrente	revés/alteração/incidente/ocorrência/quebra/chegada/instância/maravilha/milagre/modificação/ocasião/variação/coincidência/evento/colapso/acidente/caso/vitória/conclusão/exemplo/resultado/fim/final/problema/mudança
ocorrência	revés/alteração/incidente/quebra/chegada/instância/maravilha/milagre/modificação/ocasião/variação/coincidência/evento/colapso/acidente/caso/vitória/conclusão/exemplo/resultado/fim/final/problema/mudança
ocultista	feiticeira/mago/mágico/feiticeiro
ocupação	abastecimento/biscate/didáctica/ensinamento/posicionamento/treinamento/treino/protecção/provimento/auxílio/cargo/conduta/ensino/ofício/pedagogia/socorro/vocação/colocação/fornecimento/ajuda/arte/comportamento/educação/procedimento/processo/profissão/esforço/instrução/liderança/manobra/preparação/proteção/assistência/costume/criação/emprego/função/solo/tentativa/formação/hábito/operação/papel/jogo/serviço/trabalho/lugar/posição
odontoceti	delfim/delphinidae/boto/golfinho
odontocetos	delfim/delphinidae/boto/golfinho
ofensa	infracção/infração
oficial	juiz/árbitro
oficina	chácara/estudio/laboratorio/laboratórios/estúdio/granja/quinta/laboratório/sítio/fazenda/trabalho
ofício	biscate/cargo/vocação/arte/profissão/ocupação/emprego/trabalho/posição
olhada	olhadela/relance/mirada
olhar	olhadela/relance/mirada/olhada
ontogenia	cultura
ontogénese	cultura
operador	conductor/chofer/condutor/motorista
operação	ofensiva/campanha/ataque
operário	balconista/caixeiro/mineiro/obreiro/carregador/trabalhador
opinião	doutrina/expetativa/projecto/conceito/conjectura/convicção/premonição/religião/filosofia/intuição/concepção/expectativa/programação/certeza/especulação/idéia/suposição/tema/teoria/motivo/projeto/lado/fé/hipótese/preocupação/ideia/intenção/programa/plano/posição
opioides	heroina/heroína
opositor	inimigo
oposição	contraposição/reverso/contraste/oposto/contrário
opção	cabimento/default/possibilidade/padrão
oratória	debate/disputa
ordem	guilda/matrizes/camarilha/clube/tabela/calendário/matriz/coluna/sociedade/esquema/bicha/plano
organismo	alguém/cruza/criatura/flora/mestiço/animal/besta/bicho/célula/híbrido/indivíduo/planta/alma/vegetal/pessoa/ser
organização	guilda/sindicalismo/sindicatos/clube/elenco/sindicato/hierarquia/associação/calendário/chapa/comissão/comité/comitê/estabelecimento/instituição/legenda/partido/delegação/economia/embaixada/missão/sociedade/esquema/instituto/pessoal/união/companhia/plano/rede/ordem
orgulho	brio/pundonor/auto-estima/dignidade/egoísmo
orientador	capataz/supervisor/chefe
orientação	ideologia/perspectiva/visão/posição
origem	extração
orla	beira-mar/costa/litoral
ornamento	laço/banda/motivo/faixa
ornato	laço/ornamento
ortodoxia	convenção
ortografia	escrita
ortópteros	criquete/grillo/grilo/grilos
osso	caveira/crâneo/crânio/dentes/costela/crânio/mandíbula/dente
oval	círculo
pacote	penca/baralho/molho/fardo/feixe
pacto	concessão
padre	bispos/bispo
padrões	normas/escala/norma/padrão
pagamento	realeza/crédito/entrada/seguro/sinal
pagante	inquilino/locatário/contribuinte
pai	progenitora/papai/papá/painho/mãe
painho	papai/papá/pai
paixão	fervor/zelo
palanque	convés/ringue/convés/palco/teatro
palavra	nomenclatura/terminologia/vocábulo/termo
palhaço	arlequim/bufão/bobo
paliçada	sebe/sebes
pano	lanígero/patch/remendo/veludo/lona/seda/toalha/algodão/lã/vela/renda
panorama	vislumbre/fundo
papai	papá/painho/pai
papel	folhas/cartão/carta/folha
papel-moeda	dólar
papá	papai/painho/pai
par	casal/dupla/contemporâneo
parafernália	kit/conjunto
parafuso	cavilha/perno
parcialidade	pré-conceito/viés/preconceito
parede	muro
paredes	muro/parede
parente	antecessor/cónjuge/prima/sobrinho/consorte/cônjuge/esposa/esposo/marido/tio/ancestral/antepassado/descendência/primo/companheiro/descendente/filho
parentesco	descendência/linhagem
parreira	batata
parte	elemento/hardware/excedente/fatia/ingrediente/restante/segmento/adição/módulo/resíduo/sobra/tira/capítulo/peça/seção/introdução/melhoria/resto/substância/componente/conclusão/fragmento/passagem/pedaço
participante	noiva
partida	despedida/competição/torneio/corrida/combate/jogo/luta
partidarismo	pré-conceito/viés/preconceito
partido	oposição
partícula	grão
passado	histórico/história
passador	crivo/peneira/coador
passagem	excerto/recorte/extrato/saguão/trecho/túnel/frase/citação/poço/chaminé/salão
passeio	boleia/carona
passivo	desvantagem
pastel	empada/torta
pastor	bispos/cura/bispo/vigário/ministro/padre/pároco/clérigo
pata	punho
patrício	princesa/príncipe/princesa/príncipe
pau	clava/porrete
pausa	descanso/repouso/parada/extensão
pavilhão	bandeira/estandarte
pavimento	cave/mansarda/porão/trapeira/sótão/ático
paz	relaxamento/serenidade/repouso/consenso/calma/acordo
país	superpoder/superpotência/aliado
peculiaridade	disposição/atividade
pedagogia	ensino/aula/conferência/lição/educação/curso
pedagogo	instrutor/docente/mestre/professor
pedal	acelerador
pedaço	fatia/viga/mínimo/tira/trave/porção/fragmento
pedido	facturação/faturação/invitação/convite/consumo/conta/ordem
pedra	brita/cascalho/gravilha/mármore
peitoril	umbral/limiar
peixe	salmão
penalidade	punição
penalização	punição
penca	fardo/pacote
pendão	bandeira/estandarte
pensamento	mainstream/projecto/conceito/concepção/programação/idéia/tema/motivo/projeto/preocupação/ideia/intenção/programa/plano
penso	gesso
penteado	trança/corte
percepção	tato/comentário/sensação/toque/observação
percurso	órbita/trilha
perda	sacrifício
perfeição	refinamento
performance	magia/ilusão/truque
pergunta	indagação/quesito/interrogação/desafio/questão
periférico	impressora
perigo	ameaça
perito	decorador/desenhador
periódico	resenha/revista/série/jornal
permanência	parada
perna	coxa/braço/anca
perplexidade	misterio/mistério/dilema
perseguição	tortura
personalidade	identidade
período	centúria/decênio/década/estio/fim-de-semana/inverno/outono/primavera/sazão/século/séculos/verão/manhã/mês/noitada/semestre/século/velhice/colheita/estágio/semana/continuidade/reinado/trimestre/fase/tarde/duração/era/estação/idade/juventude/época/infância/reino/ano/noite/tempo
pesar	terpena/desgosto/amargura/luto/mágoa/remorso/tristeza/dor
pesquisa	enquête/sindicância/busca/procura/inquérito/investigação
pessoa	aficionado/amadora/antagonista/cobaia/conhecida/engenheiro/habitante/homem-bomba/matador/proponente/pário/solicitante/utente/utilizador/adversário/amador/líder/morador/pretendente/sósia/usuário/adulto/candidato/cientista/escrava/especialista/espectador/igual/indivíduo/observador/opositor/parente/pupilo/sobrevivente/sócio/conhecido/defensor/identidade/parceiro/suspeito/advogado/amizade/assassino/autoridade/escravo/guerreiro/inimigo/radical/vizinho/aluno/caso/chefe/par/personalidade/testemunha/trabalhador/amigo/estudante/representante
pessoal	galera/vulgo/nação/estrato/geração/inimigo/mundo/população/gente/povo/classe
petição	aplicacao/cobrança/cortejamento/facturação/faturação/galanteio/invitação/namoro/apelação/arrecadação/candidatura/convite/demanda/solicitação/apelo/conta/recurso/ordem
petróleo	hulha/carvão
peça	cêntimo/viga/centavo/trave/pedaço/artigo
pia	lavabo
piedade	misericórdia/compaixão/afeição
pilhagem	saque/roubo
piloto-aviador	piloto
pinnipedia	foca
pinípedes	foca
pipeline	canudo/tubo
piso	cave/formigão/mansarda/porão/trapeira/betão/sótão/ático/concreto
pista	signo
placa	ladrilho/disco/painel
planejamento	deliberação/cálculo
planos	complô/conspiração
planta	casademoinho/cervejaria/fábrica/manufatura/usina
pletora	redundância/repetição
pobreza	indigência/privação/miséria
poder	influência/jurisdição/meta/técnica/inteligência/força/habilidade/talento
policial	detective/detetive/tira
polidez	cortesia
poliedro	pirâmide
poliedros	pirâmide
polícia	detective/detetive/policial/tira
polígono	triangulo/triângulo
político	governador/prefeito/candidato/comunista
pomo	maçã
ponteiro	agulha
ponto	regiões/ocidente/selva/flecha/ponteiro/floresta/espaço/região
população	eleitorado/galera/vulgo/nação/estrato/geração/inimigo/mundo/gente/pessoal/povo/classe
porco	sus/suíno
porrada	murro/soco
porto	cais
porção	elemento/excedente/fatia/restante/segmento/resíduo/sobra/tira/peça/seção/resto/substância/componente/fragmento/pedaço/parte
posição	catedra/gradação/nacionalidade/presidência/espaçamento/hierarquia/direita/esquerda/nível/equilíbrio/proporção/cadeira/posto/formação/grau/inclinação/segundo/lugar/classe
posse	possessão/propriedade
possessão	património/patrimônio/dinheiro/fazenda/herança/propriedade/bem
possibilidade	oportunidade/potenciabilidade/potencial/teoria/chance
post-scriptum	apêndice
posto	catedra/gradação/presidência/nível/cadeira/grau/segundo/classe
postulado	premissa/pressuposto
postulação	aplicacao/cobrança/apelação/arrecadação/candidatura/demanda/solicitação/apelo/recurso
pote	chaleira/bule/caldeiras/chaleira
potpourri	seleção
potência	logaritmo/logarítmo
povo	eleitorado/galera/vulgo/nação/estrato/geração/inimigo/mundo/população/gente/pessoal/classe
pradaria	pastagem/pasto/prado
prado	pastagem/pasto
prata	prataria/cêntimo/centavo
prato	salada/sopa/sobremesa/doce
precariedade	dúvida/questão
precipitação	nevada/neve/chuva
precisão	exatidão/rigor
preconceito	racismo
precursor	predecessor
predicado	feição/peculiaridade/temperamento/personalidade/pessoa
predisposição	preferência
predição	horóscopo/prognose/prognóstico/previsão
predominância	proveito/privilégio/liderança/lucro/bem
premissa	pré-condição/estipulação/roteiro/cenário/condição
premonição	coração
prenome	assinatura/visto/título
preocupação	ansiedade/temor/medo
preparação	prática/deliberação/exercício/cálculo/marcha
presbítero	bispos/bispo
prescrição	ordenamento
presente	galardão/prémio/prêmio/ajuda/momento
preservação	conservação
preso	refém
pressuposição	fundação/base
pressuposto	pré-condição/estipulação/roteiro/cenário/condição
prestação	ordenado/salário/remuneração/pensão/retribuição
pretensão	capricho/comichão/impertinência/ambição/caprichoso/aspiração/fantasia/desejo
previsão	horóscopo/prognose/prognóstico
preço	tarifa/custos/preços/importância/magnitude/custo
preços	custos/importância/magnitude/preço/custo
primata	mono/símio/macaco
primatas	mono/símio/macaco
princípio	lógica
prisioneiro	refém
problema	escândalo/merda/dificuldade/obstáculo
proboscídeos	elefanta/elefante/elefoa
procedimento	ramerrão/rotina/fórmula/regra
processo	ramerrão/rotina/fórmula/regra
procissão	passeata/desfile/marcha/parada
procura	sinistro
procurar	busca/procura
produto	livros/película/importação/cinema/estoque/filme/inventário/mercadoria/revista/livro/produção/artigo
produção	livros/película/cinema/filme/revista/livro
professor	catedrático/instructor/preceptor/tutor
profissional	jurista/advogado/crítico
profissão	biscate/cargo/ofício/vocação/arte/ocupação/emprego/trabalho/posição
progenitor	progenitora/papai/papá/painho/pai/mãe
prognóstico	horóscopo/prognose/previsão
programa	telejornais/táctica/tática/episódio/notícias/horário/manobra
progresso	reaparecimento/ressurgência/revitalização/revivalismo/ressurreição/retomada
projeto	aventura/tarefa
projeção	dente
projéctil	projétil/bala/flecha/seta
projétil	bala/flecha/seta
promessa	noivado/palavra/casamento
promoção	reclame/reclamo/propaganda/publicidade/anúncio
propaganda	filipeta/reclame/panfleto/reclamo/publicidade/anúncio
proponente	porta-voz/representante
proporção	percentagem/percento/porcentagem
proposta	assessoramento/proposição/sugestão/conselho/recomendação
propriedade	feição/isotropia/património/peculiaridade/temperamento/constituição/fraqueza/especialidade/grandeza/patrimônio/característica/odor/cheiro/composição/estrutura/idade/personalidade/possessão/magnitude/pessoa/fazenda/grau/herança/qualidade/concentração/recurso/força/número/bem
propulsão	pontaria/tiro
proscrição	exílio/deportação
prosperidade	boom/eudemonismo/bem-estar/saúde
protesto	manifestação
protetor	bombeira/bombeiro/bombeiros/bombeiro/guarda
proteção	seguros/amparo/protecção/telhado/escudo/teto/seguro/rede
prova	crisma/confirmação/verificação
provérbio	lemas/mote/cambial/lema
prática	revisão/ensaio
pré-conceito	racismo
prédio	escolas/plantel/vivenda/estufa/hall/hotel/restaurante/dormitório/viveiro/biblioteca/colégio/departamento/habitação/ruína/salão/centro/escola/casa
prémio	condecoração/medalha/diploma/troféu/prêmio/grau
prêmio	condecoração/medalha/diploma/troféu/prémio/grau
prêmios	condecoração/medalha/diploma/troféu/prémio/prêmio/grau
psicoterapia	psicanálise
psiquiatra	psicanalista/analista
psiquê	assombração/aparição/espectro/fantasma
publicação	edição/referência/livro
publicidade	filipeta/reclame/panfleto/reclamo/propaganda/anúncio
pupilo	ouvinte
pário	contemporâneo
pároco	cura/vigário/ministro/padre/clérigo/pastor
pão	toste/pãozinho/torrada
pé-de-cabra	manche
qualidade	atratividade/credibilidade/faceta/precariedade/simplicidade/incerteza/semblante/custos/humanidade/natureza/preços/probabilidade/aspecto/característica/vantagem/importância/valor/atração/magnitude/virtude/preço/custo/propriedade/aparência/dificuldade/recurso/habilidade/bem
quantia	probabilidade/volume/valor
quantidade	acrescentamento/produtos/probabilidade/volume/deficiência/valor/carência/produto/variável/aumento/número
quantitativo	probabilidade/volume/valor
quarto	antecâmara/antessala/compartimento/estudio/calabouço/hall/masmorra/saguão/vestíbulo/átrio/dormitório/bar/cela/escritório/cozinha/galeria/banheiro/sala/classe
quartos	dormitório
querela	controvérsia/disputa/discussão
questionamento	inquérito
questão	indagação/quesito/interrogação/pergunta/desafio/problema
quietude	paz/relaxamento/serenidade/repouso/calma/paz
quinta	lacticínios/leitaria/leiteria/mercearia/rancho/granja/herdade/roça/terras/fazenda
quitanda	supermarket/supermercados/supermercado
quociente	proporção
racha	fenda
raciocinio	argumentação/raciocínio
raciocínio	símile/analogia/argumentação
radical	terrorista
radioreceptor	televisor/tv/televisão/tevê/rádio
radiorreceptor	televisor/tv/televisão/tevê/rádio
raio	trovoadas/trovão/relâmpago
raiva	fúria/ira/cólera
raiz	cenoura
rancor	ressentimento
razoamento	argumentação/raciocínio
raça	tipo/classe
raíz	cenoura
realidade	realismo/verdade
realizado	satisfação
