abadia	monastério/mosteiro/convento
gradação	hierarquia/posto/classe/posição
gradiente	talude/declives/inclinação
graduado	estudioso/erudito/especialista/acadêmico
grama	terreno/campo/ervas/gramínea/gramíneas/erva
gramado	terreno/campo/gleba/terreno/região
grampo	investigação
grandeza	atributo/propriedade
granja	chácara/quinta/laboratório/oficina/sítio/emprego/fazenda/trabalho
grau	hierarquia/grandeza/magnitude/posto/número/classe/posição/prémio/prêmios/galardão/atributo/prémio/prêmio/propriedade
gravidade	atração/seriedade
gravilha	rocha/pedra
gravitação	atração
graça	humor
greda	solo/terra
greta	vão/fenda
grilhão	restrição/limitação
grillo	ortópteros
grilo	ortópteros
grilos	ortópteros
grito	enunciado/vocalização/expressão
grupo	colecção/coleção/aglomeração/acúmulo/aglomeração
gruta	formação
grutas	formação
gráfico	mapa
grão	átomo/partícula
guarda	destacamento/protetor/guardião/defensor
guarda-chuva	toldo
guarda-costas	destacamento
guarda-redes	futebolista/jogador
guarda-roupa	colecção/coleção/aglomeração/acúmulo
guarida	asilo/refúgio
guen	seqüência/sequência
guerra	conflito/luta
guerreiro	alguém/indivíduo/alma/pessoa
guerrilha	guerreiro
guerrilheiro	guerreiro
guia	líder/regulamento/norma/chefe/lei/regra/vade-mécum/vademecum/vademécum/manual
guilda	associação/sociedade/união/organização/ordem
guria	fêmea
gémeo	irmã/irmão
gêmeo	irmã/irmão
gênio	intelecto/intelectual
habilidade	meta/técnica/talento/capacidade/poder/qualidade/talento
habitante	alguém/indivíduo/alma/pessoa
habitat	cerque/entorno/envolvente/ambiente/meio
habitação	morada/alojamento/aposento/moradia/prédio/domicílio/residência/edifício/abrigo/lar/casa
hall	aposento/prédio/edifício/quarto/sala
hardware	componente/parte
harmonia	música/compatibilidade
hasta	venda
haste	barra
hemisfério	região
hemípteros	artropode/artrópode/artrópodes
herança	possessão/propriedade
herdade	chácara/granja/quinta/sítio/fazenda
herdeiro	destinatário
heroina	opioides
heroína	opioides
herói	líder/chefe
hesitação	relutância
hierarquia	status/condição/estado/organização/classe/posição
hipótese	conceito/concepção/idéia/opinião/ideia
historiador	estudioso/erudito/especialista/acadêmico
historiografo	estudioso/erudito/especialista/acadêmico
história	falsidade/mentira/passado/mensagem/tópico/assunto/conteúdo/falsidade/mentira
histórico	passado
hoax	astúcia/artimanha
hobby	recreaçao/diversão
hoje	tempo
homem	cónjuge/consorte/cônjuge/esposa/esposo/marido/adulto/companheiro/varão/macho
homem-bomba	alguém/indivíduo/alma/pessoa
homemdenegócios	empresário
honra	honestidade/justiça
hora	dado/leitura
horizonte	fronteira
hortaliça	hortifruti/hortifruto
hortifruti	comida
hortifruto	comida
horário	listagem/cronograma/lista/agenda/programa/intervalo/tempo
horóscopo	predição/prognóstico/previsão
hospedaria	hotel
hospedeiro	adulto
hospitalidade	recepção
hostilidade	acção/atividade/situação/ato/condição/estado/ação
hotel	prédio/edifício
hulha	petróleo
humanidade	qualidade
humano	hominídeo
humor	abalo/comoção/emoção/sentimento/emoção/sentimento/impressão
hábito	tradições/costumes/tradição/costume/atividade/ocupação/costume/emprego
híbrido	organismo/ser
hóspede	visitante/visita
iate	embarcações/embarcação/navios/navio/barco
idade	etapa/século/era/época/tempo/período/atributo/época/propriedade/período
ideia	conceito/concepção/idéia/pensamento/cálculo/opinião
identidade	temperamento/personalidade/pessoa/similardidade/semelhança
identificação	evidência/indicação
ideologia	orientação
idioma	mensagem/comunicação/linguagem/discurso/língua
idiota	matarruano/simplória/simplório/estúpido
idéia	conceito/concepção/pensamento/opinião/ideia
ignomínia	desonra/vergonha
igreja	casadeoração/templo
igrejas	casadeoração/igreja/templo
igual	alguém/indivíduo/alma/pessoa
ilha	chão/relevo/solo/terra
ilustração	afiguração/representação/imagem/figura/desenho
ilusão	desempenho/performance/interpretação/apresentação/engano/mal-entendido/aparência
imagem	afiguração/representação/figura/ilustração/desenho
imbecil	matarruano/simplória/simplório/idiota/estúpido
imigração	migração
impacto	consequência/conseqüência/efeito/resultado/fim/toque
impertinência	apetite/pretensão/anseio/desejo/desrespeito
implemento	instrumento/ferramenta
importação	bens/mercadoria/fazenda/produto/artigo/bem
importância	preços/preço/qualidade
impostor	trapaceiro
impostora	trapaceiro
impostos	imposto
imprensa	maquinaria/máquina
impressora	impressor/tipógrafo/periférico
impressão	semblante/aspecto/aparência
impulso	violência/força
império	monarquia/corporação/empresas
imunidade	desistência/renúncia
incerteza	qualidade
incidente	ocorrente/ocorrência/acontecimento
inclinação	gradiente/talude/declives/colocação/localização/posição
incomunicação	separação
incumbência	dever/obrigação
indagação	pergunta/inquérito/questão
independência	liberdade
indicador	dedo
indicação	aconselhamento/mensagem/comunicação/conselho/direção
indicações	regulamento/norma/lei/regra
indigência	pobreza/empobrecimento/miséria/pobreza
indivíduo	alguém/causador/alma/pessoa/causa/organismo/ser
industria	comercialismo/mercantilismo/comércio
indício	mensagem/comunicação/evidência/indicação
indústria	industria/empresa/negócio/comércio
infecção	incidente/evento
influência	consequência/conseqüência/efeito/resultado/fim/poder
informação	mensagem/tópico/assunto/conteúdo
informática	engenharia/tecnologia
infra-estrutura	artefato/arquitectura/estrutura
infracção	crime/ofensa
infraestructura	arquitectura/estrutura
infraestrutura	arquitectura/estrutura
infração	crime/ofensa
infringemento	delito/transgressão
infância	época/período
ingestão	atividade
ingrediente	componente/parte
inibição	abstinência
inicial	caracter/caractér/carácter/letra
iniciativa	início/começo
inimigo	alguém/antagonista/adversário/indivíduo/opositor/alma/população/gente/pessoa/pessoal/povo
inimizade	situação/condição/estado
injeção	inserção/introdução
injúria	conduta/comportamento/desrespeito/maltrato
inovação	criatividade/criação
inquilino	pagante/remunerador/financiador
inquérito	questionamento/investigação/pesquisa
inscrição	ingresso/entrada
insecto	artropode/artrópode/artrópodes
insectos	artropode/artrópode/artrópodes
insensatez	mensagem/tópico/assunto/conteúdo
inseto	artropode/artrópode/artrópodes
insetos	artropode/artrópode/artrópodes
insight	compreensão/discernimento/compreensão
insistência	urgência
insolência	desrespeito
inspector	investigador
inspetor	investigador
inspiração	intuição
instalação	artefato
instante	minuto/momento/segundo
instinto	aptidão
instituição	organização
instituto	organização
instructor	instrutor/docente/mestre/professor
instrumento	documentação/documento/aparato/dispositivo/implemento/aparelho/equipamento/mecanismo/ferramenta
instrutor	educacionista/pedagogo/educador
instrução	atividade/ocupação/herança
instância	ocorrente/ocorrência/acontecimento/urgência/informação/conhecimento
insulto	desrespeito
insurreição	conflito/luta
integridade	honestidade/situação/condição/estado
intelectual	intelecto
inteligência	capacidade/poder/habilidade/talento
intento	meta/alvo/objectivo/intenção
intenção	conceito/significância/meta/significação/alvo/idéia/objectivo/pensamento/opinião/significado/mensagem/vontade/tópico/assunto/conteúdo/escolha/resolução
interação	acção/atividade/ato/ação
intercorrência	decisão
interdição	acta/decreto
interferencia	obstrução/impedimento/obstáculo
interior	campo/região
intermediária	representante
internet	rede
interpretação	demonstração/apresentação
interrogação	pergunta/inquérito/questão
interruptor	controlador/controle
interrupção	intervalo/tempo
intervalo	ociosidade
intestino	víscera
intestinos	víscera
introdução	apostila/sebenta/compêndio/texto/seção/parte
intuição	crença/idéia/opinião/ideia/impressão
intérprete	artista
inumação	funeral/enterro/funeral
inventário	mercadoria/produto/artigo
invenção	criatividade/criação
inverno	sazão/estação/tempo/período
investigador	cientista/especialista
investigação	inquérito/pesquisa
investimento	activos/ativos/bens/recursos/ativo
invitação	missiva/carta/requerimento/requisição/solicitação/pedido/petição/apelo
início	instante/momento
ira	abalo/zanga/comoção/cólera/emoção/sentimento/raiva
irmão	frei/monge/frade/amiga/camarada/conhecido/amizade/amigo
ironia	humor
isolamento	separação
isotropia	atributo/propriedade
isqueiro	aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
itinerário	fronteira
itinerários	fronteira
janela	abertura
jantar	repasto/refeição
jaqueta	casaco/sobretudo
jardim	flora/vegetação/terreno/campo
jazida	território/ambiente/área/região
jeans	calça
jeito	efetuação/implementação/execução/realização
jerimum	verdura/hortaliça/legume/vegetal
joelho	coxa/anca
jogada	vez/jogo
jogador	competidor/contendor
jogo	certame/colecção/concurso/coleção/competição/aglomeração/torneio/acúmulo/partida/recreaçao/diversão/atividade/ocupação
joia	joalharia/joalheria/jóia
joquei	ginete/cavaleiro
jornal	jornalismo/imprensa/periódico/revista
jornalista	comunicador
jovem	coorte
juiz	funcionário/serventuário/adjudicator/árbitro/oficial
juizado	assembleia/assembléia
julgamento	acção/feito/ato/ação/decisão
junta	comissão/comité/comitê
junção	área/região
jurisdição	poder
jurisprudência	colecção/coleção/aglomeração/acúmulo
jurista	funcionário/serventuário/profissional/adjudicator/juiz/árbitro
justeza	honestidade/justiça
justificativa	circunstância/consideração
justificação	circunstância/consideração
justiça	justeza/honestidade
juventude	coorte/época/período
juízo	acção/feito/ato/ação
jóia	joalharia/joalheria
jóquei	ginete/joquei/cavaleiro
jóqueis	ginete/joquei/cavaleiro
júri	junta/comissão/comité/comitê/comunidade/grupo
kit	parafernália
labareda	combustão
labirinto	sistema
laboratorio	laboratório/oficina/emprego/trabalho
laboratório	oficina/emprego/trabalho
laboratórios	laboratório/oficina/emprego/trabalho
lacticínios	chácara/granja/quinta/sítio/fazenda
ladeira	gradiente/inclinação/elevação/formação
lado	superfície/opinião
ladrilho	laje/placa
lago	água
laissez-passer	consenso/consentimento/autorização/sanção/aprovação
laje	bloco
lama	matéria/substância/solo/terra
lampejo	compreensão/discernimento/compreensão
lanche	repasto/refeição
lanchonete	restaurante
langor	emoção/sentimento/impressão
lanterna	luz
lanígero	têxteis/pano/tecido/fazenda
lar	alojamento/abrigo/casa
laranja	citrino
largura	amplidão/dimensão/magnitude/extensão
lata	contentor/contêiner/recipiente
lauda	folhas/folha
lavabo	pia
lavandaria	vestuário/roupa
lavanderia	vestuário/roupa
lazer	relaxação/repouso
laço	adorno/ornato/ornamento/decoração
lealdade	fidelidade
legenda	título/organização
legislatura	assembleia/assembléia
legislação	governação/governo/administração
legume	hortifruti/hortifruto
lei	colecção/conceito/coleção/aglomeração/concepção/idéia/acúmulo/ideia
leilão	venda
leitaria	chácara/granja/quinta/sítio/fazenda
leite	bebida/lacticínio/laticínio
leiteria	chácara/granja/quinta/sítio/fazenda
leitor	freguês/cliente/comprador/consumidor/crítico
lema	locução/provérbio/ditado/expressão/idioma
lemas	locução/provérbio/ditado/expressão/idioma
lenda	título/estória/conto/história
leopardo	gato
lesão	traumatismo/dano/machucado/mal
letra	grafema
letreiro	edifício/tecido/estrutura
leão	gato
liberdade	situação/condição/estado
liderança	líder/chefe/predominância/vantagem/atividade/ocupação/benefício
ligadura	atadura/curativo
ligação	interação/telefonia/estado/união/relação
lima	ferramenta
limiar	peitoril/soleira
limitação	desvantagem/regulamento/norma/lei/regra/confinamento
limite	fronteiras/borda/fronteira
limão	citrino
linguagem	mensagem/comunicação/discurso/idioma/língua
lingüiça	vianda/carne
linha	texto/formação/fronteira
linhagem	parentesco/relação/agrupação/conjunto/grupo
liquidação	ocasião/vez/chance
lista	listagem
listrão	banda
literatura	documentos
litoral	orla/costa
livreto	livro
livro	publicação/edição/bens/produto/produção
livros	bens/produto/produção
lixa	ferramenta
lixo	materiais/resíduo
lição	ensino/pedagogia/educação
loa	aplauso/aprovação
loba	canídeo/cão
lobo	canídeo/cão
localização	objeto
locatário	pagante/remunerador/financiador
locação	objeto/gleba/terreno/região
locução	idioma
lodo	matéria/substância
logaritmo	expoente/potência
logarítmo	expoente/potência
loja	shopping
lona	têxteis/pano/tecido/fazenda
longitude	alcance/extensão
lote	gleba/terreno/região
louvado	especialista
louvor	aplauso/aprovação
louça	contentor/contêiner/faiença/louças/recipiente
lua	satélites/satélite
lucro	benefício/bem/predominância/vantagem/benefício
lugar	objeto/gleba/local/terreno/atividade/ocupação/região/posição
luminária	alfaia/movéis/mobília/mobiliário/móvel
lunar	defeito
luta	certame/concurso/competição/torneio/combate/partida/batalha/jogo/empenho/conflito/esforço
luto	tristeza/pesar
luz	lâmpada
lágrima	gota
lástima	infortúnio/azar
lã	têxteis/pano/tecido/fazenda/corda
léxico	vocabulário
líder	alguém/indivíduo/alma/chefe/pessoa
língua	mensagem/comunicação/linguagem/discurso/idioma/órgão
lípidos	lipido/lipídio/lípido/gordura
líquido	líqüido/fluido
líqüido	matéria/substância
lógica	princípio
macaco	primata/primatas
maconha	canabis/canábis/cânabis/traqueófitos/erva
madre	religioso
madrugada	hora
maestro	musico/músico
magia	desempenho/performance/interpretação/apresentação
magistrado	funcionário/serventuário/adjudicator/juiz/árbitro
magnata	homemdenegócios/empresário/negociante/comerciante
magnitude	grandeza/número/atributo/preços/preço/propriedade/qualidade
mago	ocultista
mainstream	pensamento/ideia
maioria	idade
maiúscula	grafema/letra
mala	compartimento/bagagem/bagagens/embrulho
maluco	geek/excêntrico
malícia	maldade
mancha	defeito
manche	alavanca/pé-de-cabra
manchete	encabeçamento
mandíbula	osso
maneira	efetuação/implementação/execução/realização
manequim	criado/ajudante/assistente/servidor
manhã	etapa/tempo/período
manicomio	enfermaria/hospital
manifestante	cruzado/reformador
manifestação	protesto/reunião
manobra	atividade/ocupação/programa
mansarda	pavimento/piso/andar
manteiga	lacticínio/laticínio/comida
manual	vade-mécum/vademecum/vademécum
manufatura	industria/fábrica/usina/empresa/negócio/planta/comércio
manuscrito	documentos
manutenção	conserto/reparo/reparação/recurso
mapa	afiguração/representação/imagem/figura/ilustração/desenho
maquiagem	cosmético
maquilagem	cosmético
maquinaria	máquina/aparato/dispositivo/aparelho/equipamento/mecanismo/instrumento/ferramenta
maquinário	maquinaria/máquina
maravilha	ocorrente/ocorrência/acontecimento
marca	defeito
marcador	número
marcha	treinamento/treino/mecanismo/preparação/romaria/procissão
maresia	vento
marfim	dentina
margem	declive/declives/subida/encosta/costa/ladeira/borda/fronteira/limite
marido	cónjuge/consorte/cônjuge/esposa/esposo/parente/companheiro/cara-metade
marinho	azul
mariposa	lepidópteros
marketing	comercialismo/mercantilismo/comércio
martelo	ferramenta
martírio	dor/angústia/dor
masmorra	aposento/quarto/sala
massa	mistura/corpo
massacre	assassínio/assassinato/homicídio
mata	chão/relevo/solo/terra/bioma/biomas
matador	alguém/indivíduo/alma/pessoa
matematica	ciência
matemática	ciência
materiais	substância
matiz	significância/significação/significado/intenção
mato	região
matreiro	canídeo/cão
matricula	ingresso/entrada
matriz	escritório/informação/array/ordem
matrizes	array/ordem
matrícula	ingresso/entrada
matéria	informação/mensagem/tópico/assunto/conteúdo
maçã	pomo/fruta
mecanismo	aparato/dispositivo/aparelho/equipamento/instrumento/ferramenta
medalha	prémio/prêmios/galardão/prémio/prêmio
mediador	artista
medicamento	entorpecente/droga/remédio/agente
medida	grandeza/magnitude/número/manobra
medo	abalo/comoção/consternação/emoção/sentimento/temor/terror/ânsia/ansiedade/preocupação
meia-noite	hora
meio	efetuação/implementação/situação/componente/condição/estado/execução/região/realização
mel	adoçante
melhora	estado/situação/condição/estado
melhoria	estado/situação/componente/condição/estado/parte
melodia	música/texto
membro	associado
memorando	nota
memória	hardware/conceitualização/faculdade/representação/talento
menina	mulher/amado/fêmea/amante
menininha	fêmea
menino	descendência/descendente/filho/varão/macho/homem
meninota	fêmea
menoridade	número
mensagem	comunicação/abstração
mentalidade	atitude
mente	cognição/noção/conhecimento/compreensão/intelecto/intelectual
mentira	falsidade/história/falsidade
mentirinha	falsidade/mentira/história
mento	traço
menu	listagem/lista/dieta/alimento
menção	apontamento/anotação/nota
mercado	feira
mercado/mercadinho	feira/mercado
mercadologia	comercialismo/mercantilismo/comércio
mercador	negociante/comerciante/empresário
mercadoria	bens/fazenda/produto/artigo/bem
mercantilismo	transação
mercearia	chácara/granja/quinta/sítio/fazenda
merda	dificuldade/problema
merenda	repasto/refeição
mesa	alfaia/movéis/mobília/mobiliário/móvel
mesada	atribuição
mesquita	casadeoração/igreja/templo
mesquitas	casadeoração/igreja/templo
mestiço	organismo/ser
mestre	artista/educacionista/pedagogo/educador
meta	capacidade/poder/habilidade/talento
metodo	habilidade
metodologia	metodo/método/métodos/técnica
metodologias	metodo/método/métodos/técnica
metodólogia	metodo/método/métodos/técnica
metro	caminho-de-ferro/ferrovia
metropolitano	caminho-de-ferro/ferrovia
metrópole	municipalidade/município
metrô	caminho-de-ferro/ferrovia
micetes	fungo/fungos
microchip	semicondutor/semicondutores
migração	traslado/deslocamento/movimento
milagre	ocorrente/ocorrência/acontecimento/evento/fato
milho	farinhas/cereal
mineiro	obreiro/trabalhador/operário
mineral	materiais
ministro	executivo/pároco/sacerdote/clérigo/pastor
minoria	número
minorias	número
minérios	materiais
mirada	olhada/olhar
misericórdia	leniência/compaixão/piedade
missiva	texto/documento
missão	organização
misterio	aperto/perplexidade/embaraço
mistura	combinação
mistério	aperto/perplexidade/embaraço
miséria	pobreza/empobrecimento/pobreza
mito	estória/conto/história
mixagem	combinação/mistura
mobiliário	mobília/móvel
mobília	mobiliário/móvel
mocinha	fêmea
moda	rumo/tendências/direcção/direção/curso/estilo
modelo	criado/líder/ajudante/assistente/chefe/servidor/exemplo/afiguração/representação/imagem/figura/ilustração/desenho
modificação	ocorrente/ocorrência/acontecimento
modo	efetuação/implementação/execução/realização
moeda	cobre/divisa/dinheiro
mofo	fungo/fungos
moinho	maquinaria/maquinário/máquina
moinhos	maquinaria/maquinário/máquina
molde	exemplo/modelo
molho	embalagem/condimento/recipiente/pacote
molécula	unidade
momento	actualidade/hoje/presente/minuto/instante/segundo
monarca	governante/governador
monarquia	ditadura/despotismo/autocracia
monastério	claustro
monge	religioso
monja	religioso
mono	primata/primatas
monopólio	ascendencia/dominancia/superioridade/controle/domínio
monstro	mutante/mutantes/mutação
montanha	elevação
montanhas	elevação
monte	colecção/coleção/aglomeração/acúmulo/massa/elevação
montão	colecção/coleção/aglomeração/acúmulo/reunião
monumento	edifício/tecido/estrutura
monumentos	edifício/tecido/estrutura
morada	alojamento/abrigo/casa
moradia	alojamento/abrigo/casa
morador	alguém/habitante/indivíduo/alma/pessoa
morango	baga/fruto/fruta
morcego	mamífero
mordida	bocado
morro	elevação
morte	alteração/modificação/variação/mudança
mosaico	belas-artes/arte
mosteiro	claustro
mostra	instância/exemplo/representante
mostrador	contentor/contêiner/recipiente
mostruário	contentor/contêiner/recipiente
mote	locução/provérbio/ditado/expressão/idioma
motivação	estado/situação/condição/estado
motivo	conceito/idéia/ornamento/pensamento/opinião
motor	motores
motores	motor
motorista	conductor/chofer/condutor/manipulador/operador
mouse	roedor
movéis	mobília/mobiliário/móvel
moça	fêmea/juvenil/menor/jovem
moço	juvenil/menor/jovem/varão/macho/homem
mudança	alteração/modificação/variação/ocorrente/ocorrência/transmutação/acontecimento/transformação
mulher	cónjuge/consorte/cônjuge/esposa/esposo/marido/adulto/companheiro/amado/fêmea/amante
multa	intimação
multidão	reunião
multimedia	transmissão
multimédia	transmissão
mundo	população/gente/pessoal/povo/experiência
muro	divisória/paredes/parede
murro	porrada/golpe
mus	roedor
musico	artista
mutação	alteração/modificação/variação/mudança
mágico	ocultista
mágoa	tristeza/pesar
máquina	maquinaria/aparato/dispositivo/motores/aparelho/equipamento/mecanismo/motor/instrumento/ferramenta
mármore	rocha/pedra
máscara	disfarce/cobertura/capa
mãe	genitor/progenitor/pai/genitor
mão	colecção/auxílio/coleção/socorro/aglomeração/ajuda/acúmulo/assistência
mão-de-obra	tarefa/trabalho
média	estatística
médium	sensitivo
método	habilidade
métodos	habilidade
mês	etapa/tempo/período
mínimo	máximo/fragmento/pedaço
míssil	armamento/arma
módulo	componente/parte
móvel	mobília/mobiliário
músico	artista
nacionalidade	status/condição/estado/classe/posição
nacionalismo	lealdade
namorada	mulher/amado/amante
namoro	súplica/petição/apelo
narrativa	mensagem/tópico/assunto/conteúdo
narração	mensagem/tópico/assunto/conteúdo
nascente	formação/lugar
nata	lacticínio/laticínio
natureza	causador/cosmo/universo/mundo/criação/causa/qualidade
naval	azul
navios	navio
nação	população/gente/pessoal/povo
neblina	nevoeiro/bruma/névoa/aerossol/aerossóis
nebulosa	colecção/coleção/aglomeração/acúmulo
necessidade	estado/situação/condição/estado/coisa
necrópole	locação/sítio/lugar
negar-sea	lixo/resíduo
negação	asserção
negligência	maltrato
negociante	mercador/comerciante/revendedor/distribuidor/empresário
negociação	debate/discussão
negócio	comercialismo/mercantilismo/transação/comércio
nenê	criança/filho/menino
neoplasia	tumores
nervo	fascículo
nervos	fascículo
nevada	precipitação
neve	precipitação
nevoeiro	aerossol/aerossóis/neblina
nicho	concavidade
noitada	etapa/tempo/período
noite	etapa/tempo/período/jornada/dia
noiva	participante
noivado	promessa
nome	reputação/fama/honra/renome/substantivo
nomeação	designação
nomenclatura	verbo/vocábulo/termo/palavra
norma	critério/conceito/padrões/concepção/idéia/ideia/estatística
normas	critério/padrões
nota	factura/facturas/fatura/contas/comentário/anotação/avaliação/aviso/conta/anúncio
notificação	aviso/anúncio
notícia	informação
notícias	emissão/informação/programa
noz	semente/fruta
noção	conceito/concepção/idéia/ideia
numeral	simbolo/símbolos/aceno/emblema/símbolo/sinal
numerário	cobre/divisa/moeda/dinheiro
nupcias	rito/ritual
nutriente	substância
nádegas	anatomia
náusea	sintoma
náuseas	sintoma
névoa	nevoeiro/bruma/neblina/aerossol/aerossóis/neblina
nível	hierarquia/posto/classe/posição
nó	ligação
nódoa	defeito
número	simbolo/símbolos/conceito/aceno/emblema/concepção/símbolo/idéia/ideia/sinal/algarismo/dígito/atributo/quantidade/custo/propriedade
objectivo	meta/alvo/intenção
objetivo	meta/alvo/objectivo/intenção
obreiro	trabalhador/operário
obrigação	tarefa/trabalho
observador	alguém/espectador/indivíduo/alma/pessoa
observação	facto/afirmação/percepção/declaração/verdade
obstáculo	obstrução/impedimento/dificuldade/problema
oca	formação
ocasião	ocorrente/ocorrência/acontecimento
oceano	água
ocidente	locação/localização/ponto/lugar
ocorrência	ocorrente/acontecimento
ocupante	habitante/morador
ocupação	ofício/profissão/emprego/função/serviço/trabalho/lugar/atividade
odontólogo	médico
odor	atributo/propriedade
ofensa	conduta/comportamento/transgressão
ofensiva	manobra/operação
oficina	laboratório/emprego/trabalho
ofício	profissão/ocupação/emprego/função/serviço/trabalho/lugar/atividade/ocupação
ofídio	diapsida
olaria	cerâmica
olhada	olhar
olhadela	olhada/olhar
olimpo	região
ombro	anatomia
omissão	equívoco/engano/falha/erro
onda	movimento
onça	gato
operação	atividade/ocupação
operário	obreiro/trabalhador/obreiro/trabalhador
opinião	mensagem/tópico/assunto/conteúdo
oportunidade	possibilidade/chance
opositor	alguém/indivíduo/alma/pessoa
oposição	chapa/legenda/partido/acção/atividade/ato/ação
oposto	oposição
opção	decisão
opúsculo	livro
orbe	esfera
ordem	estado/associação/situação/sociedade/condição/estado/união/organização/requerimento/requisição/solicitação/pedido/petição/apelo
ordenado	prestação
ordenamento	norma/prescrição/regra
organização	agrupação/conjunto/grupo
orgulho	satisfação
orientador	autoridade/superior
orientação	curso
origem	ascendência
ornamento	adorno/ornato/decoração/artefato
ornato	artefato
orçamento	capital/fundo/afirmação/declaração
otimismo	temperamento/disposição
ousadia	agressividade
outono	sazão/estação/tempo/período
ouvinte	pupilo/aluno/estudante
ouvintes	reunião
ovelha	bovídeos
ovinos	bovídeos
ovo	alimento
oxigénio	gás
oxigênio	gás
pacote	colecção/penca/molho/coleção/fardo/feixe/aglomeração/acúmulo/embalagem/recipiente
pacto	acordo
padre	pároco/sacerdote/clérigo/pastor
padrão	critério/intercorrência/opção/padrões/alternativa/eleição/escolha/exemplo/modelo
padrões	critério
pagamento	comercialismo/mercantilismo/comércio
pai	genitor/papai/papá/painho/progenitor/mãe/genitor
painel	edifício/tecido/estrutura/chapa/lousa/placa
painho	genitor/papai/papá/progenitor/pai/mãe
paixão	objecto/emoção/objeto/sentimento/objetivo/impressão
palavra	promessa/verbo/vocábulo/termo
palco	palanque/tablado/tribuna
palestra	discurso
paleto	casaco/sobretudo
paliçada	barreira/obstáculo
palma	árvore
palmeira	árvore
pandorga	brinquedo
panfleto	reclame/reclamo/propaganda/publicidade/livro/anúncio
pano	artefato
papagaio	brinquedo
papai	genitor/papá/painho/progenitor/pai/mãe
papel	materiais/caracterização/atividade/ocupação
papá	genitor/papai/painho/progenitor/pai/mãe
par	alguém/indivíduo/alma/pessoa/reunião
parada	intervalo/pausa/romaria/permanência/procissão
paradoxo	contradição
parafuso	tarraxa
paraíso	região
parceiro	alguém/indivíduo/alma/pessoa
parcela	repartição/divisão
parceria	contrato/acordo
parecer	resposta/resultado
parecerista	crítico
parede	divisória/paredes
parente	alguém/indivíduo/alma/pessoa
parentesco	conexão/relação
parlamentar	legislador
parlamento	legislatura
paroxismo	ataque
parque	gleba/terreno/região
parte	repartição/porção/divisão/conexão/relação
participante	associado/competidor/contendor
partida	certame/concurso/acção/competição/feito/torneio/ato/ação/jogo
partido	adulto/organização
parto	acção/feito/ato/ação
partícula	átomo/corpo
partículas	corpo
parágrafo	documentos
parâmetro	fator
parâmetros	fator
passadeira	trilha/estrada/caminho
passado	tempo
passageiro	turista/viajante
passagem	seção/parte
passatempo	recreaçao/diversão
passe	consenso/consentimento/autorização/sanção/aprovação
passeata	romaria/procissão
passeio	jornada/viagem
passo	manobra
password	arcano/segredo
pasta	condimento/mistura
pastagem	pradaria/prado
pasto	pradaria/prado
pastor	pároco/sacerdote/clérigo
patch	pano
patente	documentação/documento
património	possessão/propriedade
patrimônio	possessão/propriedade
patriota	súdito/cidadão
patriotismo	lealdade
patrulha	destacamento
patrulhe	destacamento
pau	implemento/instrumento/barra/ferramenta
paus	baralho/carta
pausa	interrupção/suspensão/ociosidade/intervalo/tempo
pauta	listagem/lista
pavilhão	naipe/emblema
pavimento	edifício/tecido/estrutura
paz	quietude/silêncio
pecado	transgressão
peculiaridade	atributo/predicado/característica/propriedade
pecuária	mamífero/cultivo
pedagogia	atividade/ocupação
pedaço	peça/aglomeração/bocado/porção/parte
pedestal	encosto/apoio/suporte
pedestre	turista/viajante
pedra	cristal
pedágio	estipêndio/encargo/remuneração/taxa/custo
pegadinha	desvantagem/obstáculo
peito	anatomia
peixe	comida
peleja	conflito/luta
película	espectáculo/show/bens/produto/produção
pena	infortúnio/azar
penca	embalagem/recipiente/pacote
pendão	naipe/emblema
peneira	passador/coador
penhasco	formação
pensador	intelecto/intelectual
pensionista	beneficiário
penso	atadura/curativo
pensão	prestação/atribuição
penúria	ausência/escassez/deficiência/falta/carência
pepineiro	verdura/hortaliça/legume/vegetal
pepino	verdura/hortaliça/legume/vegetal
pequeno-almoço	repasto/refeição
percentagem	proporção
percento	proporção
percurso	fronteira
perda	custo
perdedor	desafortunado/desventurado/infortunado
perdão	mandado/leniência
performance	acção/demonstração/atividade/ato/ação/apresentação
pergunta	inquérito/questão
perigo	estado/situação/condição/estado
perito	especialista
periódico	jornalismo/imprensa/jornal
perna	membro
pernil	corte
perno	tarraxa/parafuso
personagem	caracterização
personalidade	temperamento/pessoa/atributo/predicado/característica/propriedade
perspectiva	orientação
perspiração	secreção
pertinência	relação/ligação
peru	galinha
perícia	habilidade
período	etapa/século/era/idade/época/tempo/intervalo/tempo
pesadelo	sonho
pesar	desgosto/mágoa/tristeza/dor
peso	medida/medição/unidade
pesquisa	inquérito/investigação
pesquisador	cientista
pessoa	causador/causa/atributo/organismo/predicado/característica/propriedade/ser
pessoal	população/gente/organização/povo/agrupação/conjunto/grupo
petição	mensagem/tópico/assunto/conteúdo
peão	turista/viajante
peça	moeda/porção/parte
peçonha	substância
ph.d.	estudioso/erudito/especialista/acadêmico
piada	comentário/observação/humor
picada	traumatismo/dano/machucado/lesão/mal
pico	área/região/convexidade/fim/final
piedade	misericórdia/compaixão
